test_name,far,frr,tar,delta_far_vs_baseline,delta_frr_vs_baseline
Baseline,0.12,0.12,0.88,0.0,0.0
Unknown users (+100),0.13,,,0.010000000000000009,
Luminance: quadratic,0.124,0.136,0.864,0.0040000000000000036,0.016000000000000014
Luminance: linear x0.5,0.132,0.112,0.888,0.01200000000000001,-0.007999999999999993
Luminance: linear x0.6,0.148,0.12,0.88,0.027999999999999997,0.0
Luminance: linear x0.75,0.14,0.116,0.884,0.020000000000000018,-0.00399999999999999
Luminance: linear x1.33,0.108,0.104,0.896,-0.011999999999999997,-0.016
Luminance: linear x1.5,0.124,0.136,0.864,0.0040000000000000036,0.016000000000000014
Luminance: offset -100,0.116,0.196,0.804,-0.00399999999999999,0.07600000000000001
Luminance: offset -20,0.116,0.112,0.888,-0.00399999999999999,-0.007999999999999993
Luminance: offset -10,0.124,0.108,0.892,0.0040000000000000036,-0.011999999999999997
Luminance: offset +30,0.116,0.112,0.888,-0.00399999999999999,-0.007999999999999993
Noise: 50-80 dB,0.11409395973154363,0.09933774834437085,0.9006622516556292,-0.0059060402684563695,-0.02066225165562914
Noise: 40-50 dB,0.12751677852348994,0.08609271523178808,0.9139072847682119,0.007516778523489948,-0.03390728476821192
Noise: 30-40 dB,0.12751677852348994,0.09933774834437085,0.9006622516556292,0.007516778523489948,-0.02066225165562914
Noise: 20-30 dB,0.15436241610738255,0.09933774834437085,0.9006622516556292,0.034362416107382554,-0.02066225165562914
Noise: 10-20 dB,0.15436241610738255,0.15894039735099338,0.8410596026490066,0.034362416107382554,0.03894039735099339
JPEG q=95,0.116,0.116,0.884,-0.00399999999999999,-0.00399999999999999
JPEG q=75,0.12,0.12,0.88,0.0,0.0
JPEG q=50,0.144,0.128,0.872,0.023999999999999994,0.008000000000000007
JPEG q=35,0.128,0.12,0.88,0.008000000000000007,0.0
JPEG q=20,0.144,0.112,0.888,0.023999999999999994,-0.007999999999999993
